case_id,split,event_year,method,stage_id,stage_index,stage_description,stage_mode,stage_selection_mode,base_item_count,item_count,oracle_root_id,oracle_eval_mode,oracle_target_roots,oracle_eval_eligible,oracle_target_p,top_root_id,top_root_ids,top_root_p,top1_ambiguous,top1_match,oracle_in_top_tie,brier,log_loss,status,run_dir,stop_reason,total_credits_spent,ablation_label
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,abductio,T0_PRELIM,0,Synopsis only (proxy for first public bulletin facts),section_progressive_v1,prefix_fallback,13,4,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.09432851,R2_COMMUNICATION_BREAKDOWN,R2_COMMUNICATION_BREAKDOWN,0.33468373,False,False,False,1.01732136,2.36097179,ok,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260212T100904Z--hist_dynamic_und_t0_prelim,CREDITS_EXHAUSTED,40,dynamic_und
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,abductio,T1_EARLY,1,Synopsis plus early factual narrative,section_progressive_v1,section_progressive,13,5,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.16761574,H_UND,H_UND,0.21820031,False,False,False,0.8385979,1.78608117,ok,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260212T101352Z--hist_dynamic_und_t1_early,CREDITS_EXHAUSTED,40,dynamic_und
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,abductio,T2_INTERIM,2,Synopsis plus expanded factual narrative,section_progressive_v1,section_progressive,13,9,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.22324727,H_UND,H_UND,0.25339584,False,False,False,0.74088535,1.49947529,ok,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260212T102030Z--hist_dynamic_und_t2_interim,EPISTEMICALLY_EXHAUSTED,40,dynamic_und
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,abductio,T3_PREFINAL,3,Pre-final factual packet (no conclusion/safety actions),section_progressive_v1,section_progressive,13,13,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.19928169,H_UND,H_UND,0.21858974,False,False,False,0.78484733,1.61303592,ok,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260212T102640Z--hist_dynamic_und_t3_prefinal,CREDITS_EXHAUSTED,40,dynamic_und
