case_id,split,event_year,method,stage_id,stage_index,stage_description,stage_mode,stage_selection_mode,base_item_count,item_count,oracle_root_id,oracle_eval_mode,oracle_target_roots,oracle_eval_eligible,oracle_target_p,top_root_id,top_root_ids,top_root_p,top1_ambiguous,top1_match,oracle_in_top_tie,brier,log_loss,status,run_dir,stop_reason,total_credits_spent,ablation_label
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,abductio,T0_PRELIM,0,Synopsis only (proxy for first public bulletin facts),section_progressive_v1,prefix_fallback,13,4,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.10303352,H_UND,H_UND,0.5,False,False,False,1.0948847,2.27270089,ok,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260211T140338Z--hist_dynamic_und_t0_prelim,CREDITS_EXHAUSTED,4,dynamic_und
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,abductio,T1_EARLY,1,Synopsis plus early factual narrative,section_progressive_v1,section_progressive,13,5,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.1301767,H_UND,H_UND,0.425,False,False,False,0.99085573,2.03886255,ok,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260211T140404Z--hist_dynamic_und_t1_early,CREDITS_EXHAUSTED,4,dynamic_und
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,abductio,T2_INTERIM,2,Synopsis plus expanded factual narrative,section_progressive_v1,section_progressive,13,9,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.10325168,H_UND,H_UND,0.5,False,False,False,1.09425448,2.27058581,ok,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260211T140424Z--hist_dynamic_und_t2_interim,CREDITS_EXHAUSTED,4,dynamic_und
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,abductio,T3_PREFINAL,3,Pre-final factual packet (no conclusion/safety actions),section_progressive_v1,section_progressive,13,13,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.12421006,H_UND,H_UND,0.4,False,False,False,0.98371286,2.08578112,ok,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260211T140446Z--hist_dynamic_und_t3_prefinal,CREDITS_EXHAUSTED,4,dynamic_und
