case_id,split,event_year,stage_id,stage_index,stage_description,stage_mode,base_item_count,item_count,oracle_root_id,oracle_eval_eligible,oracle_p,top_root_id,top_root_ids,top_root_p,top1_ambiguous,top1_match,oracle_in_top_tie,brier,log_loss,stop_reason,total_credits_spent,run_dir,status
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,T0_PRELIM,0,Synopsis only (proxy for first public bulletin facts),section_progressive_v1,13,4,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.17146098,H_UND,H_UND,0.2875,False,False,False,0.85039107,1.76339958,CREDITS_EXHAUSTED,10,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260209T183252Z--hist_t0_prelim,ok
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,T1_EARLY,1,Synopsis plus early factual narrative,section_progressive_v1,13,5,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.14039287,R3_ENVIRONMENT_OR_MARKING_DEFICIENCY,R3_ENVIRONMENT_OR_MARKING_DEFICIENCY,0.21073918,False,False,False,0.89142778,1.9633106,CREDITS_EXHAUSTED,10,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260209T183325Z--hist_t1_early,ok
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,T2_INTERIM,2,Synopsis plus expanded factual narrative,section_progressive_v1,13,9,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.20426607,R1_PUSHBACK_PROCEDURAL_DEVIATION,R1_PUSHBACK_PROCEDURAL_DEVIATION,0.20426607,False,True,False,0.76408946,1.58833188,CREDITS_EXHAUSTED,10,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260209T183403Z--hist_t2_interim,ok
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,T3_PREFINAL,3,Pre-final factual packet (no conclusion/safety actions),section_progressive_v1,13,13,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.18584901,R2_COMMUNICATION_BREAKDOWN,R2_COMMUNICATION_BREAKDOWN,0.22884987,False,False,False,0.80323888,1.68282073,CREDITS_EXHAUSTED,10,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260209T183442Z--hist_t3_prefinal,ok
