case_id,method,split,event_year,stage_id,stage_index,status,error
Spitfire_MK_26B_G-ENAA_01-26,abductio,holdout,2024,T0_PRELIM,0,error,root_set_id 'aaib_uk_bulletin_proximate_v1' not found in roots_library.json
Spitfire_MK_26B_G-ENAA_01-26,abductio,holdout,2024,T1_EARLY,1,error,root_set_id 'aaib_uk_bulletin_proximate_v1' not found in roots_library.json
Spitfire_MK_26B_G-ENAA_01-26,abductio,holdout,2024,T2_INTERIM,2,error,root_set_id 'aaib_uk_bulletin_proximate_v1' not found in roots_library.json
Spitfire_MK_26B_G-ENAA_01-26,abductio,holdout,2024,T3_PREFINAL,3,error,root_set_id 'aaib_uk_bulletin_proximate_v1' not found in roots_library.json
