case_id,split,event_year,method,stage_id,stage_index,stage_description,stage_mode,stage_selection_mode,base_item_count,item_count,oracle_root_id,oracle_eval_mode,oracle_target_roots,oracle_eval_eligible,oracle_target_p,top_root_id,top_root_ids,top_root_p,top1_ambiguous,top1_match,oracle_in_top_tie,brier,log_loss,status,run_dir,stop_reason,total_credits_spent
Discus_B_G-DJMD_Standard_Cirrus_G-DCTB_12-25,holdout,2024,abductio,T0_PRELIM,0,Synopsis only (proxy for first public bulletin facts),section_progressive_v1,section_progressive,76,3,H_OTHER,open_world_set,H_UND|H_NOA,True,0.46999375,H_UND,H_UND,0.35,False,True,False,0.28090663,0.75503588,ok,case_studies/data/UK_AAIB_Reports/cases/Discus_B_G-DJMD_Standard_Cirrus_G-DCTB_12-25/runs/abductio/20260210T122039Z--hist_t0_prelim,CREDITS_EXHAUSTED,20
Discus_B_G-DJMD_Standard_Cirrus_G-DCTB_12-25,holdout,2024,abductio,T1_EARLY,1,Synopsis plus early factual narrative,section_progressive_v1,section_progressive,76,28,H_OTHER,open_world_set,H_UND|H_NOA,True,0.42770833,H_UND,H_UND,0.30833333,False,True,False,0.32751775,0.84931378,ok,case_studies/data/UK_AAIB_Reports/cases/Discus_B_G-DJMD_Standard_Cirrus_G-DCTB_12-25/runs/abductio/20260210T122200Z--hist_t1_early,CREDITS_EXHAUSTED,20
Discus_B_G-DJMD_Standard_Cirrus_G-DCTB_12-25,holdout,2024,abductio,T2_INTERIM,2,Synopsis plus expanded factual narrative,section_progressive_v1,section_progressive,76,52,H_OTHER,open_world_set,H_UND|H_NOA,True,0.42458333,H_UND,H_UND,0.31875,False,True,False,0.33110434,0.85664698,ok,case_studies/data/UK_AAIB_Reports/cases/Discus_B_G-DJMD_Standard_Cirrus_G-DCTB_12-25/runs/abductio/20260210T122336Z--hist_t2_interim,CREDITS_EXHAUSTED,20
Discus_B_G-DJMD_Standard_Cirrus_G-DCTB_12-25,holdout,2024,abductio,T3_PREFINAL,3,Pre-final factual packet (no conclusion/safety actions),section_progressive_v1,section_progressive,76,76,H_OTHER,open_world_set,H_UND|H_NOA,True,0.40465278,H_UND,H_UND,0.29444444,False,True,False,0.35443832,0.90472592,ok,case_studies/data/UK_AAIB_Reports/cases/Discus_B_G-DJMD_Standard_Cirrus_G-DCTB_12-25/runs/abductio/20260210T122519Z--hist_t3_prefinal,CREDITS_EXHAUSTED,20
