case_id,split,event_year,method,stage_id,stage_index,stage_description,stage_mode,stage_selection_mode,base_item_count,item_count,oracle_root_id,oracle_eval_mode,oracle_target_roots,oracle_eval_eligible,oracle_target_p,top_root_id,top_root_ids,top_root_p,top1_ambiguous,top1_match,oracle_in_top_tie,brier,log_loss,status,run_dir,stop_reason,total_credits_spent
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,abductio,T0_PRELIM,0,Synopsis only (proxy for first public bulletin facts),section_progressive_v1,prefix_fallback,13,4,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.28342954,R1_PUSHBACK_PROCEDURAL_DEVIATION,R1_PUSHBACK_PROCEDURAL_DEVIATION,0.28342954,False,True,False,0.62342077,1.26079171,ok,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260210T153749Z--hist_t0_prelim,CREDITS_EXHAUSTED,20
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,abductio,T1_EARLY,1,Synopsis plus early factual narrative,section_progressive_v1,section_progressive,13,5,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.22812172,R1_PUSHBACK_PROCEDURAL_DEVIATION,R1_PUSHBACK_PROCEDURAL_DEVIATION,0.22812172,False,True,False,0.72596532,1.47787595,ok,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260210T153913Z--hist_t1_early,CREDITS_EXHAUSTED,20
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,abductio,T2_INTERIM,2,Synopsis plus expanded factual narrative,section_progressive_v1,section_progressive,13,9,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.22146487,R2_COMMUNICATION_BREAKDOWN,R2_COMMUNICATION_BREAKDOWN,0.23861674,False,False,False,0.73969828,1.50749128,ok,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260210T154040Z--hist_t2_interim,CREDITS_EXHAUSTED,20
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,abductio,T3_PREFINAL,3,Pre-final factual packet (no conclusion/safety actions),section_progressive_v1,section_progressive,13,13,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.27107647,R1_PUSHBACK_PROCEDURAL_DEVIATION,R1_PUSHBACK_PROCEDURAL_DEVIATION,0.27107647,False,True,False,0.64527355,1.30535431,ok,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260210T154623Z--hist_t3_prefinal,CREDITS_EXHAUSTED,20
