case_id,split,event_year,method,stage_id,stage_index,stage_description,stage_mode,stage_selection_mode,base_item_count,item_count,oracle_root_id,oracle_eval_mode,oracle_target_roots,oracle_eval_eligible,oracle_target_p,top_root_id,top_root_ids,top_root_p,top1_ambiguous,top1_match,oracle_in_top_tie,brier,log_loss,status,run_dir,stop_reason,total_credits_spent
Short_Bros_SD3-60_N915GD_10-25,holdout,2024,abductio,T0_PRELIM,0,Synopsis only (proxy for first public bulletin facts),section_progressive_v1,section_progressive,15,3,H_OTHER,open_world_set,H_UND|H_NOA,True,0.385,H_UND,H_UND,0.26666667,False,True,False,0.378225,0.95451194,ok,case_studies/data/UK_AAIB_Reports/cases/Short_Bros_SD3-60_N915GD_10-25/runs/abductio/20260210T122640Z--hist_t0_prelim,CREDITS_EXHAUSTED,20
Short_Bros_SD3-60_N915GD_10-25,holdout,2024,abductio,T1_EARLY,1,Synopsis plus early factual narrative,section_progressive_v1,section_progressive,15,7,H_OTHER,open_world_set,H_UND|H_NOA,True,0.41757917,H_UND,H_UND,0.30833333,False,True,False,0.33921403,0.87328113,ok,case_studies/data/UK_AAIB_Reports/cases/Short_Bros_SD3-60_N915GD_10-25/runs/abductio/20260210T122814Z--hist_t1_early,CREDITS_EXHAUSTED,20
Short_Bros_SD3-60_N915GD_10-25,holdout,2024,abductio,T2_INTERIM,2,Synopsis plus expanded factual narrative,section_progressive_v1,section_progressive,15,11,H_OTHER,open_world_set,H_UND|H_NOA,True,0.38666042,H_UND,H_UND,0.26666667,False,True,False,0.37618544,0.95020845,ok,case_studies/data/UK_AAIB_Reports/cases/Short_Bros_SD3-60_N915GD_10-25/runs/abductio/20260210T122927Z--hist_t2_interim,CREDITS_EXHAUSTED,20
Short_Bros_SD3-60_N915GD_10-25,holdout,2024,abductio,T3_PREFINAL,3,Pre-final factual packet (no conclusion/safety actions),section_progressive_v1,section_progressive,15,15,H_OTHER,open_world_set,H_UND|H_NOA,True,0.29183083,R3_ENVIRONMENT_OR_MARKING_DEFICIENCY,R3_ENVIRONMENT_OR_MARKING_DEFICIENCY,0.22603742,False,False,False,0.50150357,1.23158098,ok,case_studies/data/UK_AAIB_Reports/cases/Short_Bros_SD3-60_N915GD_10-25/runs/abductio/20260210T123111Z--hist_t3_prefinal,CREDITS_EXHAUSTED,20
