case_id,method,split,event_year,stage_id,stage_index,status,error
Boeing_737-8AS_9H-QAA_12-25,abductio,holdout,2024,T0_PRELIM,0,error,Locked policy profile required for case Boeing_737-8AS_9H-QAA_12-25. Use locked_policy_profile='boeing_inference_v1'.
Boeing_737-8AS_9H-QAA_12-25,abductio,holdout,2024,T1_EARLY,1,error,Locked policy profile required for case Boeing_737-8AS_9H-QAA_12-25. Use locked_policy_profile='boeing_inference_v1'.
Boeing_737-8AS_9H-QAA_12-25,abductio,holdout,2024,T2_INTERIM,2,error,Locked policy profile required for case Boeing_737-8AS_9H-QAA_12-25. Use locked_policy_profile='boeing_inference_v1'.
Boeing_737-8AS_9H-QAA_12-25,abductio,holdout,2024,T3_PREFINAL,3,error,Locked policy profile required for case Boeing_737-8AS_9H-QAA_12-25. Use locked_policy_profile='boeing_inference_v1'.
