case_id,split,event_year,method,stage_id,stage_index,stage_description,stage_mode,stage_selection_mode,base_item_count,item_count,oracle_root_id,oracle_eval_mode,oracle_target_roots,oracle_eval_eligible,oracle_target_p,top_root_id,top_root_ids,top_root_p,top1_ambiguous,top1_match,oracle_in_top_tie,brier,log_loss,status,run_dir,stop_reason,total_credits_spent,ablation_label
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,abductio,T0_PRELIM,0,Synopsis only (proxy for first public bulletin facts),section_progressive_v1,prefix_fallback,13,4,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.11184348,H_UND,H_UND,0.49090909,False,False,False,1.07258899,2.19065493,ok,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260212T115720Z--hist_t0_prelim,CREDITS_EXHAUSTED,30,
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,abductio,T1_EARLY,1,Synopsis plus early factual narrative,section_progressive_v1,section_progressive,13,5,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.25366176,H_UND,H_UND,0.28906926,False,False,False,0.69412354,1.37175355,ok,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260212T120125Z--hist_t1_early,CREDITS_EXHAUSTED,30,
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,abductio,T2_INTERIM,2,Synopsis plus expanded factual narrative,section_progressive_v1,section_progressive,13,9,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.16024451,H_UND,H_UND,0.23719743,False,False,False,0.86305975,1.83105444,ok,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260212T120537Z--hist_t2_interim,CREDITS_EXHAUSTED,30,
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,abductio,T3_PREFINAL,3,Pre-final factual packet (no conclusion/safety actions),section_progressive_v1,section_progressive,13,13,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.22545882,H_UND,H_UND,0.27726031,False,False,False,0.74080728,1.48961777,ok,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260212T120952Z--hist_t3_prefinal,CREDITS_EXHAUSTED,30,
