case_id,split,event_year,method,stage_id,stage_index,stage_description,stage_mode,stage_selection_mode,base_item_count,item_count,oracle_root_id,oracle_eval_mode,oracle_target_roots,oracle_eval_eligible,oracle_target_p,top_root_id,top_root_ids,top_root_p,top1_ambiguous,top1_match,oracle_in_top_tie,brier,log_loss,status,run_dir,stop_reason,total_credits_spent
Short_Bros_SD3-60_N915GD_10-25,holdout,2024,abductio,T0_PRELIM,0,Synopsis only (proxy for first public bulletin facts),section_progressive_v1,section_progressive,15,3,H_OTHER,open_world_set,H_UND|H_NOA,True,0.44879491,H_UND,H_UND,0.32727273,False,True,False,0.30382705,0.80118926,ok,case_studies/data/UK_AAIB_Reports/cases/Short_Bros_SD3-60_N915GD_10-25/runs/abductio/20260210T163254Z--hist_t0_prelim,CREDITS_EXHAUSTED,20
Short_Bros_SD3-60_N915GD_10-25,holdout,2024,abductio,T1_EARLY,1,Synopsis plus early factual narrative,section_progressive_v1,section_progressive,15,7,H_OTHER,open_world_set,H_UND|H_NOA,True,0.4,H_UND,H_UND,0.2875,False,True,False,0.36,0.91629073,ok,case_studies/data/UK_AAIB_Reports/cases/Short_Bros_SD3-60_N915GD_10-25/runs/abductio/20260210T163428Z--hist_t1_early,CREDITS_EXHAUSTED,20
Short_Bros_SD3-60_N915GD_10-25,holdout,2024,abductio,T2_INTERIM,2,Synopsis plus expanded factual narrative,section_progressive_v1,section_progressive,15,11,H_OTHER,open_world_set,H_UND|H_NOA,True,0.37284091,H_UND,H_UND,0.25909091,False,True,False,0.39332853,0.98660347,ok,case_studies/data/UK_AAIB_Reports/cases/Short_Bros_SD3-60_N915GD_10-25/runs/abductio/20260210T163607Z--hist_t2_interim,CREDITS_EXHAUSTED,20
Short_Bros_SD3-60_N915GD_10-25,holdout,2024,abductio,T3_PREFINAL,3,Pre-final factual packet (no conclusion/safety actions),section_progressive_v1,section_progressive,15,15,H_OTHER,open_world_set,H_UND|H_NOA,True,0.33919167,H_UND,H_UND,0.225,False,True,False,0.43666765,1.08118994,ok,case_studies/data/UK_AAIB_Reports/cases/Short_Bros_SD3-60_N915GD_10-25/runs/abductio/20260210T163919Z--hist_t3_prefinal,CREDITS_EXHAUSTED,20
