case_id,split,event_year,method,stage_id,stage_index,stage_description,stage_mode,stage_selection_mode,base_item_count,item_count,oracle_root_id,oracle_eval_mode,oracle_target_roots,oracle_eval_eligible,oracle_target_p,top_root_id,top_root_ids,top_root_p,top1_ambiguous,top1_match,oracle_in_top_tie,brier,log_loss,status,run_dir,stop_reason,total_credits_spent
Short_Bros_SD3-60_N915GD_10-25,holdout,2024,abductio,T0_PRELIM,0,Synopsis only (proxy for first public bulletin facts),section_progressive_v1,section_progressive,15,3,H_OTHER,open_world_set,H_UND|H_NOA,True,0.42666667,H_UND,H_UND,0.30833333,False,True,False,0.32871111,0.85175221,ok,case_studies/data/UK_AAIB_Reports/cases/Short_Bros_SD3-60_N915GD_10-25/runs/abductio/20260210T161908Z--hist_t0_prelim,CREDITS_EXHAUSTED,20
Short_Bros_SD3-60_N915GD_10-25,holdout,2024,abductio,T1_EARLY,1,Synopsis plus early factual narrative,section_progressive_v1,section_progressive,15,7,H_OTHER,open_world_set,H_UND|H_NOA,True,0.41418333,H_UND,H_UND,0.30833333,False,True,False,0.34318117,0.88144657,ok,case_studies/data/UK_AAIB_Reports/cases/Short_Bros_SD3-60_N915GD_10-25/runs/abductio/20260210T162058Z--hist_t1_early,CREDITS_EXHAUSTED,20
Short_Bros_SD3-60_N915GD_10-25,holdout,2024,abductio,T2_INTERIM,2,Synopsis plus expanded factual narrative,section_progressive_v1,section_progressive,15,11,H_OTHER,open_world_set,H_UND|H_NOA,True,0.346875,R1_PUSHBACK_PROCEDURAL_DEVIATION,R1_PUSHBACK_PROCEDURAL_DEVIATION,0.27052992,False,False,False,0.42657227,1.05879079,ok,case_studies/data/UK_AAIB_Reports/cases/Short_Bros_SD3-60_N915GD_10-25/runs/abductio/20260210T162235Z--hist_t2_interim,CREDITS_EXHAUSTED,20
Short_Bros_SD3-60_N915GD_10-25,holdout,2024,abductio,T3_PREFINAL,3,Pre-final factual packet (no conclusion/safety actions),section_progressive_v1,section_progressive,15,15,H_OTHER,open_world_set,H_UND|H_NOA,True,0.381875,H_UND,H_UND,0.26666667,False,True,False,0.38207852,0.96266195,ok,case_studies/data/UK_AAIB_Reports/cases/Short_Bros_SD3-60_N915GD_10-25/runs/abductio/20260210T162419Z--hist_t3_prefinal,CREDITS_EXHAUSTED,20
