case_id,split,event_year,method,stage_id,stage_index,stage_description,stage_mode,stage_selection_mode,base_item_count,item_count,oracle_root_id,oracle_eval_mode,oracle_target_roots,oracle_eval_eligible,oracle_target_p,top_root_id,top_root_ids,top_root_p,top1_ambiguous,top1_match,oracle_in_top_tie,brier,log_loss,status,run_dir,stop_reason,total_credits_spent,ablation_label
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,abductio,T0_PRELIM,0,Synopsis only (proxy for first public bulletin facts),section_progressive_v1,prefix_fallback,13,4,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.15265576,H_UND,H_UND,0.24079215,False,False,False,0.87098839,1.87956982,ok,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260211T141557Z--hist_baseline_t0_prelim,CREDITS_EXHAUSTED,4,baseline
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,abductio,T1_EARLY,1,Synopsis plus early factual narrative,section_progressive_v1,section_progressive,13,5,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.19999724,H_UND,H_UND,0.23093703,False,False,False,0.78242181,1.60945173,ok,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260211T141623Z--hist_baseline_t1_early,CREDITS_EXHAUSTED,4,baseline
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,abductio,T2_INTERIM,2,Synopsis plus expanded factual narrative,section_progressive_v1,section_progressive,13,9,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.19084827,H_UND,H_UND,0.2875,False,False,False,0.81611008,1.65627656,ok,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260211T141646Z--hist_baseline_t2_interim,CREDITS_EXHAUSTED,4,baseline
Boeing_737-8AS_9H-QAA_12-25,holdout,2024,abductio,T3_PREFINAL,3,Pre-final factual packet (no conclusion/safety actions),section_progressive_v1,section_progressive,13,13,R1_PUSHBACK_PROCEDURAL_DEVIATION,single,R1_PUSHBACK_PROCEDURAL_DEVIATION,True,0.13511195,H_UND,H_UND,0.35,False,False,False,0.93718216,2.00165158,ok,case_studies/data/UK_AAIB_Reports/cases/Boeing_737-8AS_9H-QAA_12-25/runs/abductio/20260211T141708Z--hist_baseline_t3_prefinal,CREDITS_EXHAUSTED,4,baseline
